Name,Artists,Album,Genres
Ik Kudi,wolf.cryman; Arpit Bala,Ik Kudi,"desi hip hop, hindi hip hop, hindi indie, indian indie"
Though I Know,Tajdar Junaid,What Colour Is Your Raindrop,"indian indie, hindi indie"
Suniyan Suniyan,Juss; MixSingh,Suniyan Suniyan,punjabi pop
I Just Wanna Feel Your Love Again,Montell Fish,I Just Wanna Feel Your Love Again,"pop, indie"
All I Want,Kodaline,In A Perfect World (Expanded Edition),"pop, indie"
Starlight,Dave,Starlight,"grime, uk drill, drill"
redrum,21 Savage,american dream,"pop, indie"
Attraction,Sukha; Prodgk,Attraction,"punjabi hip hop, bhangra, punjabi pop, desi"
Ain't No Sunshine,Bill Withers,Just As I Am,"soul, motown"
Congratulations (feat. Bilal),Mac Miller; Bilal,The Divine Feminine,"pop, indie"
20191009 I Like Her,Mac DeMarco,One Wayne G,indie
Tum (1st Verse),Justh,First Verses,"hindi indie, indian indie"
